vmName ,rgName,ssname
SB23-UAT,sphereus,SB23-UAT-ss01
SB24-UAT,sphereus,SB24-UAT-ss01
SB25-UAT,sphereus,SB25-UAT-ss01
SB26-UAT,sphereus,SB26-UAT-ss01
SB27-UAT,sphereus,SB27-UAT-ss01
SB28-UAT,sphereus,SB28-UAT-ss01
SB29-UAT,sphereus,SB29-UAT-ss01
SB30-UAT,sphereus,SB30-UAT-ss01
SphereUAT,sphereus,SphereUAT-ss01
SQL01-UAT,sphereus,SQL01-UAT-ss01
SQL02-UAT,sphereus,SQL02-UAT-ss01
SQLSERVER02,sphereus,SQLSERVER02-ss01
UAT-RedHat,sphereus,UAT-RedHat-ss01
